id,year,album,song,popularity,danceability,energy,speechiness,acousticness,liveness,valence,duration_ms,image,trackNum,track_number
176,1969,Abbey Road,polythene pam,54,0.474,0.939,0.199,0.00472,0.19,0.499,72640,abbeyroad.jpeg,17,12
177,1969,Abbey Road,she came in through the bathroom,56,0.53,0.72,0.0338,0.00376,0.314,0.69,118627,abbeyroad.jpeg,17,13
178,1969,Abbey Road,golden slumbers,64,0.419,0.152,0.0277,0.326,0.113,0.239,91760,abbeyroad.jpeg,17,14
179,1969,Abbey Road,carry that weight ,58,0.543,0.458,0.0274,0.226,0.298,0.704,96467,abbeyroad.jpeg,17,15
180,1969,Abbey Road,the end ,55,0.647,0.487,0.0689,0.00101,0.138,0.222,141613,abbeyroad.jpeg,17,16
181,1969,Abbey Road,her majesty,21,0.703,0.215,0.0892,0.728,0.13,0.522,25987,abbeyroad.jpeg,17,17
42,1964,Beatles for Sale,no reply,52,0.718,0.593,0.0377,0.67,0.172,0.869,136067,beatlesforsale.jpeg,14,1
43,1964,Beatles for Sale,im a loser,46,0.492,0.628,0.0439,0.567,0.267,0.856,150027,beatlesforsale.jpeg,14,2
44,1964,Beatles for Sale,babys in black,45,0.374,0.596,0.0416,0.434,0.098,0.876,124520,beatlesforsale.jpeg,14,3
45,1964,Beatles for Sale,rock and roll music,51,0.457,0.917,0.0441,0.566,0.333,0.965,151280,beatlesforsale.jpeg,14,4
46,1964,Beatles for Sale,ill follow the sun,60,0.689,0.313,0.0366,0.789,0.144,0.625,108853,beatlesforsale.jpeg,14,5
47,1964,Beatles for Sale,mr.moonlight,44,0.631,0.424,0.0438,0.796,0.118,0.589,158627,beatlesforsale.jpeg,14,6
48,1964,Beatles for Sale,kansas city/ Hey-Hey-Hey-Hey,43,0.588,0.724,0.0335,0.614,0.877,0.924,158147,beatlesforsale.jpeg,14,7
49,1964,Beatles for Sale,eight days a week,63,0.652,0.583,0.038,0.412,0.119,0.744,163600,beatlesforsale.jpeg,14,8
50,1964,Beatles for Sale,words of love,47,0.551,0.533,0.0297,0.323,0.173,0.85,124320,beatlesforsale.jpeg,14,9
51,1964,Beatles for Sale,honey don’t ,43,0.629,0.545,0.0348,0.473,0.0854,0.735,177427,beatlesforsale.jpeg,14,10
52,1964,Beatles for Sale,every little thing,44,0.74,0.49,0.038,0.488,0.103,0.678,123800,beatlesforsale.jpeg,14,11
53,1964,Beatles for Sale,I don’t want to spoil the party ,43,0.533,0.668,0.033,0.451,0.149,0.889,154467,beatlesforsale.jpeg,14,12
54,1964,Beatles for Sale,What youre doing,43,0.695,0.53,0.0403,0.301,0.0583,0.825,150040,beatlesforsale.jpeg,14,13
55,1964,Beatles for Sale,everybodys trying to be my baby,42,0.543,0.806,0.0385,0.466,0.134,0.943,146000,beatlesforsale.jpeg,14,14
56,1965,Help!,Help!,70,0.534,0.725,0.0332,0.188,0.0994,0.763,139560,help.jpeg,14,1
57,1965,Help!,the night before,52,0.461,0.762,0.0379,0.0537,0.238,0.632,154933,help.jpeg,14,2
58,1965,Help!,you’ve got to hide your love away,65,0.398,0.392,0.0282,0.207,0.102,0.378,129120,help.jpeg,14,3
59,1965,Help!,I need you,52,0.601,0.489,0.0455,0.277,0.0988,0.638,148787,help.jpeg,14,4
60,1965,Help!,another girl,47,0.516,0.638,0.0314,0.238,0.333,0.822,125360,help.jpeg,14,5
61,1965,Help!,youre going to lose that girl,53,0.533,0.66,0.0337,0.346,0.26,0.818,138667,help.jpeg,14,6
62,1965,Help!,ticket to ride,64,0.519,0.85,0.0678,0.0457,0.233,0.749,189680,help.jpeg,14,7
63,1965,Help!,act naturally,47,0.702,0.447,0.0308,0.366,0.153,0.944,150373,help.jpeg,14,8
64,1965,Help!,its only love,50,0.629,0.551,0.0256,0.22,0.0432,0.685,116480,help.jpeg,14,9
65,1965,Help!,you like me too much,45,0.555,0.57,0.0302,0.415,0.191,0.899,156867,help.jpeg,14,10
66,1965,Help!,tell me what you see,45,0.592,0.796,0.0429,0.061,0.131,0.7,157987,help.jpeg,14,11
67,1965,Help!,ive just seen a face,60,0.647,0.56,0.0387,0.723,0.118,0.913,125040,help.jpeg,14,12
68,1965,Help!,yesterday,75,0.332,0.179,0.0326,0.879,0.0886,0.315,125667,help.jpeg,14,13
69,1965,Help!,dizzy miss lizzy,45,0.373,0.934,0.0591,0.116,0.0962,0.918,176507,help.jpeg,14,14
182,1970,Let It Be,two of us,56,0.726,0.702,0.032,0.0974,0.239,0.931,216813,letitbe.jpeg,12,1
183,1970,Let It Be,dig a pony,51,0.538,0.478,0.0388,0.472,0.17,0.527,235000,letitbe.jpeg,12,2
184,1970,Let It Be,across the universe,65,0.257,0.412,0.0287,0.361,0.0702,0.858,228133,letitbe.jpeg,12,3
185,1970,Let It Be,I me mine,53,0.291,0.638,0.0554,0.179,0.101,0.525,145587,letitbe.jpeg,12,4
186,1970,Let It Be,dig it ,45,0.54,0.489,0.117,0.659,0.457,0.67,50467,letitbe.jpeg,12,5
187,1970,Let It Be,let it be ,76,0.443,0.403,0.0322,0.631,0.111,0.41,243027,letitbe.jpeg,12,6
188,1970,Let It Be,maggie mae,48,0.516,0.515,0.215,0.379,0.103,0.524,40040,letitbe.jpeg,12,7
189,1970,Let It Be,ive got a feeling,55,0.44,0.609,0.0358,0.0715,0.582,0.364,217560,letitbe.jpeg,12,8
190,1970,Let It Be,one after 909,48,0.554,0.828,0.0739,0.0307,0.907,0.888,173960,letitbe.jpeg,12,9
191,1970,Let It Be,the long and winding road,64,0.299,0.329,0.0279,0.756,0.0559,0.392,218187,letitbe.jpeg,12,10
192,1970,Let It Be,for you blue,48,0.88,0.556,0.0855,0.24,0.24,0.955,152213,letitbe.jpeg,12,11
193,1970,Let It Be,get back,65,0.761,0.592,0.0586,0.492,0.61,0.332,189387,letitbe.jpeg,12,12
111,1967,Magical Mystery Tour,magical mystery tour,51,0.297,).613,0.0931,0.0385,0.0734,0.338,170107,magicalmysterytour.jpeg,11,1
112,1967,Magical Mystery Tour,the fool on the hill,56,0.365,0.26,0.0314,0.913,0.105,0.49,179107,magicalmysterytour.jpeg,11,2
113,1967,Magical Mystery Tour,flying ,49,0.551,0.395,0.0501,0.368,0.0932,0.261,135520,magicalmysterytour.jpeg,11,3
114,1967,Magical Mystery Tour,blue jay way,49,0.294,0.407,0.0308,0.0258,0.0852,0.0378,235067,magicalmysterytour.jpeg,11,4
115,1967,Magical Mystery Tour,your mother should know,53,0.698,0.293,0.0332,0.784,0.0936,0.724,148413,magicalmysterytour.jpeg,11,5
116,1967,Magical Mystery Tour,I am the walrus,61,0.401,0.556,0.0513,0.0828,0.589,0.654,275867,magicalmysterytour.jpeg,11,6
117,1967,Magical Mystery Tour,"hello, goodbye",60,0.479,0.733,0.0256,0.306,0.414,0.806,208840,magicalmysterytour.jpeg,11,7
118,1967,Magical Mystery Tour,strawberry field forever,68,0.39,0.502,0.178,0.336,0.0713,0.289,247320,magicalmysterytour.jpeg,11,8
119,1967,Magical Mystery Tour,penny lane,61,0.651,0.488,0.0316,0.212,0.136,0.49,180893,magicalmysterytour.jpeg,11,9
120,1967,Magical Mystery Tour,"baby, youre a rich man",51,0.619,0.625,0.036,0.0119,0.152,0.467,181307,magicalmysterytour.jpeg,11,10
121,1967,Magical Mystery Tour,all you need is love,64,0.4,0.48,0.0295,0.346,0.155,0.653,230387,magicalmysterytour.jpeg,11,11
